,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,shitkino,56.37,98.35,59.94,88,100,2.84,RU,1596059148
384,mapiripan,2.89,-72.13,81.61,83,90,3.33,CO,1596058862
385,vinh long,10.25,105.97,77.16,92,100,3.02,VN,1596059149
386,libertador general san martin,-23.81,-64.79,61.0,39,0,3.74,AR,1596059149
387,tigil,57.8,158.67,57.11,83,83,7.74,RU,1596059149
388,ambon,-3.7,128.18,79.0,83,40,8.05,ID,1596058916
389,nouadhibou,20.93,-17.03,71.6,83,1,18.34,MR,1596059149
390,cooma,-36.23,149.13,33.8,100,75,4.7,AU,1596059150
391,nantucket,41.28,-70.1,73.4,73,1,10.29,US,1596059150
392,seymchan,62.88,152.43,49.91,61,23,17.83,RU,1596059150
393,ust-kan,50.93,84.76,45.46,84,57,2.8,RU,1596059150
394,halkirk,52.28,-112.15,81.0,60,40,5.01,CA,1596059150
395,udachnyy,66.42,112.4,50.0,76,100,6.71,RU,1596059151
396,keetmanshoop,-26.58,18.13,64.4,25,0,8.05,NA,1596059151
397,payakumbuh,-0.22,100.63,69.06,85,96,1.05,ID,1596059151
398,florianopolis,-27.61,-48.5,55.4,50,40,13.87,BR,1596059151
399,dhidhdhoo,6.88,73.1,82.08,79,100,15.28,MV,1596059152
400,college,64.86,-147.8,64.99,55,75,6.93,US,1596058756
401,vestmannaeyjar,63.44,-20.27,52.56,86,16,4.59,IS,1596058781
402,grindavik,63.84,-22.43,50.0,87,75,8.05,IS,1596059152
403,sergeyevka,53.88,67.42,56.57,80,100,6.35,KZ,1596059152
404,puerto carreno,6.19,-67.49,78.8,83,40,6.93,CO,1596059152
405,shima,24.45,117.81,82.4,83,75,2.24,CN,1596059153
406,namatanai,-3.67,152.43,82.4,74,34,6.08,PG,1596058751
407,sohag,26.56,31.69,93.2,23,0,8.05,EG,1596059153
408,fomboni,-12.28,43.74,75.9,86,68,14.2,KM,1596059153
409,brae,60.4,-1.35,51.8,87,99,19.46,GB,1596059153
410,flinders,-34.58,150.86,52.0,87,0,1.01,AU,1596059154
411,mataram,-8.58,116.12,68.0,100,75,2.24,ID,1596058916
412,slave lake,55.28,-114.77,71.6,78,20,4.7,CA,1596058857
413,abha,18.22,42.51,64.4,100,40,8.05,SA,1596058893
414,yumen,40.28,97.2,64.44,36,0,3.24,CN,1596058854
415,moose factory,51.26,-80.61,66.2,77,75,5.82,CA,1596058851
416,tiszabercel,48.15,21.65,69.8,88,100,1.12,HU,1596059155
417,venustiano carranza,19.43,-99.1,69.8,49,90,10.29,MX,1596059155
418,tessalit,20.2,1.01,97.32,15,3,7.43,ML,1596058823
419,high level,58.52,-117.14,71.6,53,75,2.24,CA,1596059155
420,ciudad bolivar,8.12,-63.55,87.53,65,37,3.36,VE,1596059156
421,rawson,-43.3,-65.1,46.44,58,74,15.21,AR,1596058764
422,hobyo,5.35,48.53,77.76,83,14,20.89,SO,1596059156
423,cruzeiro do sul,-29.51,-51.99,45.0,84,0,0.78,BR,1596059156
424,phangnga,8.45,98.53,77.0,100,75,1.68,TH,1596059150
425,nalut,30.33,10.85,80.69,30,0,14.05,LY,1596059156
426,zaysan,47.47,84.87,58.35,67,100,2.33,KZ,1596059157
427,fare,-16.7,-151.02,79.65,76,100,19.69,PF,1596059157
428,kloulklubed,7.04,134.26,77.0,94,90,5.82,PW,1596059157
429,chernyshevskiy,63.01,112.47,52.3,83,0,6.8,RU,1596059157
430,karaman,37.08,33.25,66.4,36,0,4.9,TR,1596059158
431,meulaboh,4.14,96.13,78.19,76,98,3.31,ID,1596058852
432,gambela,8.25,34.58,69.58,90,95,3.11,ET,1596059158
433,taga,46.95,24.05,71.6,83,1,3.36,RO,1596059158
434,sambava,-14.27,50.17,69.85,85,4,12.48,MG,1596059158
435,homer,59.64,-151.55,66.99,72,1,14.99,US,1596058950
436,acajutla,13.59,-89.83,89.6,40,40,3.36,SV,1596059159
437,vostok,46.49,135.88,68.81,88,1,1.36,RU,1596058831
438,careiro da varzea,-3.2,-59.81,91.4,46,20,5.82,BR,1596059159
439,marzuq,14.4,46.47,79.38,58,4,2.82,YE,1596058836
440,sechura,-5.56,-80.82,71.89,54,7,16.67,PE,1596059160
441,yanam,16.73,82.22,80.19,89,100,4.38,IN,1596059160
442,changping,40.22,116.22,82.99,90,66,3.0,CN,1596059160
443,hartselle,34.44,-86.94,87.8,66,40,3.36,US,1596059160
444,ranong,9.97,98.63,80.71,79,96,5.97,TH,1596059161
445,nyaunglebin,17.95,96.73,74.95,92,100,2.77,MM,1596059161
446,hami,42.8,93.45,78.75,19,92,7.58,CN,1596059161
447,bubaque,11.28,-15.83,78.51,86,100,20.15,GW,1596058811
448,dubbo,-32.25,148.62,33.8,100,90,1.12,AU,1596058815
449,nemuro,43.32,145.57,62.37,90,3,11.56,JP,1596058805
450,kosterevo,55.93,39.61,64.44,95,100,7.4,RU,1596059162
451,yarkovo,57.4,67.08,50.25,76,93,4.81,RU,1596059162
452,henderson,36.04,-114.98,109.99,5,1,4.7,US,1596059033
453,zhigansk,66.77,123.37,49.48,64,0,20.92,RU,1596059162
454,kohat,33.58,71.45,87.8,70,40,11.41,PK,1596059162
455,roura,4.73,-52.33,84.2,70,58,5.82,GF,1596059163
456,gat,31.61,34.76,82.99,57,0,0.78,IL,1596058705
457,lander,42.83,-108.73,81.0,30,90,6.93,US,1596059163
458,athabasca,54.72,-113.29,78.96,57,27,4.03,CA,1596059163
459,bitung,1.45,125.18,75.2,94,40,2.24,ID,1596058806
460,voghera,44.99,9.01,77.0,71,26,3.56,IT,1596059164
461,kurilsk,45.23,147.88,60.39,82,39,5.32,RU,1596059164
462,puerto suarez,-18.95,-57.8,68.0,37,73,13.87,BO,1596059164
463,vangaindrano,-23.35,47.6,66.11,93,76,6.38,MG,1596059164
464,ballina,-28.87,153.57,54.0,87,11,9.17,AU,1596059165
465,tautira,-17.73,-149.15,82.4,69,75,19.46,PF,1596058795
466,muravlenko,63.79,74.52,46.54,97,44,7.99,RU,1596059165
467,mujiayingzi,42.12,118.78,69.76,79,42,9.08,CN,1596059165
468,dingle,11.0,122.67,76.28,90,76,7.09,PH,1596058754
469,chambery,45.57,5.93,71.6,73,5,1.12,FR,1596059165
470,vaitape,-16.52,-151.75,80.38,77,100,18.84,PF,1596059166
471,eydhafushi,5.1,73.07,82.72,78,100,16.42,MV,1596059081
472,kerikeri,-35.23,173.95,59.0,3,100,5.01,NZ,1596059166
473,catuday,16.29,119.81,79.68,84,100,5.46,PH,1596059166
474,karakol,42.49,78.39,50.36,79,73,3.6,KG,1596058889
475,alugan,12.22,125.48,77.95,85,100,4.43,PH,1596059166
476,turukhansk,65.82,87.98,58.89,81,96,11.43,RU,1596058830
477,aklavik,68.22,-135.01,53.6,81,75,3.36,CA,1596059167
478,krylovskaya,46.32,39.97,71.8,48,1,6.38,RU,1596059167
479,pingliang,35.54,106.69,62.83,83,0,1.48,CN,1596059167
480,madison,34.73,-86.57,89.01,62,90,4.7,US,1596059054
481,broken hill,-31.95,141.43,42.8,81,90,4.7,AU,1596059167
482,sangar,63.92,127.47,57.99,71,0,2.21,RU,1596058764
483,beroroha,-21.67,45.17,63.72,79,16,2.17,MG,1596059168
484,trnava,48.38,17.59,73.4,82,41,4.7,SK,1596058953
485,los llanos de aridane,28.66,-17.92,73.4,73,20,16.11,ES,1596059168
486,sulangan,11.14,123.72,83.7,73,100,10.63,PH,1596059168
487,hilton head island,32.22,-80.75,88.0,66,1,12.75,US,1596058904
488,ixtapa,20.7,-105.2,88.0,70,75,6.93,MX,1596058799
489,chapada dos guimaraes,-15.46,-55.75,84.2,37,61,9.17,BR,1596059169
490,cockburn town,21.46,-71.14,86.0,70,20,18.34,TC,1596058975
491,camargo,27.67,-105.17,90.63,27,35,8.5,MX,1596059169
492,faya,18.39,42.45,64.4,100,40,8.05,SA,1596059140
493,fukue,32.69,128.84,80.49,89,0,7.45,JP,1596059170
494,rocha,-34.48,-54.33,41.4,81,0,1.59,UY,1596058946
495,nabire,-3.37,135.48,75.07,86,20,3.4,ID,1596059170
496,maiduguri,11.85,13.16,81.25,68,86,13.8,NG,1596059170
497,wenling,28.37,121.36,84.0,51,10,1.41,CN,1596059171
498,svencionys,55.15,26.17,53.06,87,10,7.38,LT,1596059171
499,lerik,38.77,48.41,80.6,61,75,3.36,AZ,1596059171
500,dolinsk,47.35,142.8,60.8,93,75,2.24,RU,1596059171
501,yambio,4.57,28.4,66.33,95,31,1.39,SS,1596059172
502,lakes entrance,-37.88,147.98,46.99,93,32,10.63,AU,1596059172
503,kichera,55.94,110.1,66.36,75,100,5.06,RU,1596059172
504,alta floresta,-9.88,-56.09,93.2,20,40,5.82,BR,1596058790
505,saint-ambroise,48.55,-71.33,62.6,93,90,2.24,CA,1596059172
506,kyren,51.68,102.14,59.83,84,100,1.95,RU,1596059172
507,northam,51.03,-4.22,60.01,88,95,4.92,GB,1596059173
508,biak,-0.91,122.88,75.4,84,100,8.9,ID,1596058831
509,adrar,20.5,-10.07,95.09,27,28,11.05,MR,1596058811
510,teya,60.38,92.63,56.66,86,98,3.51,RU,1596059173
511,novobelokatay,55.71,58.95,57.34,93,37,6.55,RU,1596059173
512,linda,39.13,-121.55,95.0,24,1,5.82,US,1596059174
513,longkou,37.65,120.33,74.62,81,0,9.26,CN,1596059174
514,yerbogachen,61.28,108.01,53.44,84,91,8.7,RU,1596058763
515,aden,12.78,45.04,88.57,69,2,8.75,YE,1596058986
516,carndonagh,55.25,-7.27,52.07,93,100,8.23,IE,1596059174
517,puerto narino,-3.77,-70.38,82.4,74,75,5.82,CO,1596059175
518,coquimbo,-29.95,-71.34,57.2,76,1,9.17,CL,1596058759
519,tilichiki,60.47,166.1,53.46,93,100,1.41,RU,1596059175
520,ewa beach,21.32,-158.01,86.0,45,1,8.05,US,1596059176
521,santo tomas,14.11,121.14,77.0,100,100,1.74,PH,1596059176
522,hamilton,39.18,-84.53,91.99,46,40,4.7,US,1596059176
523,presidente medici,-11.18,-61.9,85.57,34,9,3.76,BR,1596059177
524,tocopilla,-22.09,-70.2,62.47,54,11,3.27,CL,1596059177
525,saint john,45.27,-66.07,82.0,57,75,11.41,CA,1596059164
526,mount isa,-20.73,139.5,59.0,41,0,10.29,AU,1596058829
527,tamandare,-8.76,-35.1,75.52,76,96,14.63,BR,1596059177
528,pangnirtung,66.15,-65.71,53.6,87,75,4.7,CA,1596059177
529,torbay,47.67,-52.73,57.99,87,40,5.82,CA,1596058516
530,el alto,-4.27,-81.21,65.8,70,5,15.75,PE,1596059178
531,westport,41.14,-73.36,87.8,52,1,12.75,US,1596059178
532,muhos,64.81,25.99,62.6,82,100,11.41,FI,1596059179
533,sinegorye,62.08,150.48,47.08,60,97,11.48,RU,1596059179
534,voskresenskoye,56.84,45.43,63.3,94,87,6.73,RU,1596059179
535,hovd,48.01,91.64,61.95,49,11,7.78,MN,1596058829
536,guarapari,-20.67,-40.5,79.0,80,1,4.0,BR,1596059180
537,bereda,43.27,-7.54,64.99,99,40,3.0,ES,1596059180
538,reyes,-14.32,-67.38,67.12,62,52,3.51,BO,1596059180
539,kulunda,52.57,78.94,54.9,87,7,8.39,RU,1596059180
540,nouakchott,18.09,-15.98,80.6,69,75,17.22,MR,1596059181
541,san felipe,10.34,-68.74,80.19,84,100,4.03,VE,1596059181
542,port macquarie,-31.43,152.92,55.99,85,15,13.29,AU,1596059181
543,ust-ilimsk,58.0,102.66,55.63,92,100,4.32,RU,1596059181
544,arak,34.09,49.69,74.62,29,68,1.07,IR,1596059182
545,katsina,12.99,7.6,82.18,64,14,13.11,NG,1596059182
546,canto do buriti,-8.11,-42.94,78.28,47,0,6.69,BR,1596059182
547,dongsheng,39.82,109.98,72.23,56,100,14.97,CN,1596059182
548,altay,47.87,88.12,58.78,52,85,2.46,CN,1596058837
549,colares,38.8,-9.45,70.0,77,0,15.01,PT,1596059183
550,leningradskiy,69.38,178.42,43.0,70,16,12.62,RU,1596058766
551,mehamn,71.04,27.85,53.6,81,0,10.29,NO,1596058770
552,nyurba,63.28,118.33,52.43,81,15,3.69,RU,1596058785
553,qaqortoq,60.72,-46.03,57.2,71,40,10.29,GL,1596058824
554,colesberg,-30.72,25.1,46.69,50,0,8.14,ZA,1596059183
555,zhezkazgan,47.8,67.71,65.48,43,93,6.69,KZ,1596059184
556,sechelt,49.47,-123.77,75.0,51,0,1.99,CA,1596059037
557,dali,25.7,100.18,62.22,86,100,4.18,CN,1596059184
558,komsomolsk,49.01,33.65,74.84,53,57,9.08,UA,1596059184
559,baicheng,45.62,122.82,70.07,84,27,4.92,CN,1596059185
560,omboue,-1.57,9.26,74.48,79,99,8.63,GA,1596058820
561,haverfordwest,51.8,-4.97,61.0,82,100,9.17,GB,1596059185
562,san luis,-33.3,-66.34,50.9,44,0,6.82,AR,1596058921
